epoch,train_loss,val_CER
0,123,1102.14893
1,3.32,100.00000
2,3.15,
3,2.94,
4,2.74,99.86708
5,2.52,96.49978
6,2.29,89.49934
7,2.17,84.69207
8,2,74.56801
9,1.84,68.05494
10,1.7,53.92113
11,1.61,44.77182
12,1.46,42.40142
13,1.33,40.27470
14,1.28,35.44528
15,1.2,34.84714
16,1.15,32.47674
17,1.11,31.21400
18,1.07,
19,1,29.86265
20,0.99,27.24856
21,0.96,25.89721
22,0.881,25.45414
23,0.879,25.29907
24,0.842,23.94772
25,0.796,
26,0.769,
27,0.735,23.43819
28,0.726,
29,0.693,22.95082
30,0.667,22.92867
31,0.665,21.77670
32,0.653,21.46655
33,0.63,
34,0.602,20.77980
35,0.583,19.98228
36,0.578,
37,0.551,
38,0.536,19.02969
39,0.502,18.87461
40,0.506,
41,0.476,
42,0.5,18.83031
43,0.447,
44,0.44,18.34293
45,0.44,18.32078
46,0.419,17.65618
47,0.407,16.94728
48,0.395,16.48206
49,0.4,16.26052
50,0.383,
51,0.356,
52,0.342,
53,0.362,15.97253
54,0.334,
55,0.353,
56,0.31,
57,0.307,
58,0.289,15.48516
59,0.299,
60,0.286,15.39654
61,0.297,
62,0.287,14.73195
63,0.276,
64,0.269,
65,0.254,
66,0.25,
67,0.227,
68,0.246,
69,0.229,
70,0.227,
71,0.211,14.42180
72,0.198,
73,0.202,
74,0.196,
75,0.189,
76,0.184,
77,0.175,
78,0.186,
79,0.194,
80,0.177,14.31103
81,0.161,
82,0.162,
83,0.151,
84,0.157,
85,0.151,
86,0.14,13.91227
87,0.14,
88,0.131,
89,0.13,13.53567
90,0.14,
91,0.129,
92,0.121,
93,0.124,
94,0.113,
95,0.115,
96,0.115,
97,0.114,
98,0.102,
99,0.111,
100,0.0977,13.42490
101,0.1,
102,0.0892,
103,0.0917,
104,0.0906,
105,0.0916,13.11475
106,0.0927,
107,0.0823,
108,0.0795,
109,0.0826,
110,0.0766,
111,0.0758,
112,0.0748,
113,0.0725,
114,0.0734,
115,0.0695,
116,0.0717,13.04829
117,0.0683,12.67169
118,0.0642,
119,0.0681,
120,0.0629,
121,0.0641,
122,0.058,
123,0.0569,
124,0.0564,
125,0.0582,
126,0.0588,
127,0.064,
128,0.0524,
129,0.0562,
130,0.0623,
131,0.0485,12.62738
132,0.0596,
133,0.054,
134,0.0556,
135,0.0512,12.49446
136,0.0522,
137,0.0462,
138,0.0591,
139,0.0515,
140,0.0541,
141,0.0527,
142,0.0564,12.36154
143,0.0544,
144,0.0485,
145,0.0472,
146,0.047,
147,0.0541,
148,0.051,
149,0.0477,
